Sample File,C:\Users\APRL lab\Desktop\SMPS data\ENV400_2014\ENV400_20140307.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3772
Gas Viscosity (kg/(m*s)),1.8325e-005
Mean Free Path (m),6.73e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
10,03/07/14,08:35:38,,1745.76,4771.72,1999.36,3928.05,4107.13,4543.35,5174,5917.3,5148.11,6552.34,5726.36,8125.99,7718.64,7562.39,9481.03,8897.65,8246.11,8544.94,8251.64,8415.11,7987.48,6988.78,7450.57,7667.16,7606.16,6512.95,6201.26,6540.04,6054.88,5612.15,5975.24,6068.91,5751.29,4349.25,5586.61,5306.31,5968.67,5533.84,5313.14,5200.47,5406.68,5787.9,5781.63,5370.07,5743.88,5873.7,5460.47,6869.6,5937.81,5425.15,6069.59,5822.6,5352.89,5725.27,5749.7,5357.39,5174.32,4704.3,5153.55,4820.11,4656.01,4625.14,4217.86,4269.67,4068.85,3591.16,3697.11,2834.88,3274.39,3048.09,3038.32,2697.87,3015.42,2766.69,2498.06,2385.92,1829.72,1862.43,1607.65,1801.5,1928.93,1531.62,1291.67,1051.52,1380.84,889.811,676.319,618.503,577.676,572.701,326.725,207.578,376.098,273.749,220.045,226.18,257.826,192.441,56.2755,191.289,129.163,50.8141,108.533,162.752,33.0509,0,34.3753,34.9348,0,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,47.6146,72.6,52.04,23.291,2.20999,6802.23,
11,03/07/14,08:39:37,,645.898,2486.84,2926.43,2665.78,2862.35,3842.95,3272.92,3128.58,3515.18,4641.08,4849.43,5040.13,6250.64,5345.79,6320.3,6251.38,6730.4,6268.12,6657.99,6122.61,6221,6378.52,6184.99,6188.11,5780.32,5389.3,5643.4,5130.11,5804.01,5065.41,5023.49,4686.91,5303.02,4637.03,4166.5,4868.22,4753.52,4803.02,5155.38,5222.49,4481.45,4457.83,4630.3,4763.59,4314.28,5016.4,5087.46,4973.01,5154.94,5081.27,5035.85,4810.53,5138.36,5213.11,4518.1,4436.32,4494.36,4958.6,4101.91,4211.48,4331.55,3928.3,3509.9,4201.2,3699.13,4286.34,3503.62,3363.82,3284.14,2943.11,3198.46,2240.92,2240.5,2183.75,2168.28,2113.85,2259.44,1882.88,1532.72,1629.8,904.438,1404.22,1231.82,811.873,958.883,859.951,673.256,770.554,727.691,555.728,329.588,438.069,318.288,245.899,479.181,302.618,44.4949,279.564,233.741,250.048,177.32,62.7241,159.129,32.5504,66.1017,0,68.7506,34.9348,0,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,52.3327,77.7729,55.8379,25.0287,2.21725,5657.31,
12,03/07/14,08:43:37,,764.617,2330.15,2107.88,1975.55,2036.72,2460.42,2985.03,3644.3,3702.86,3308.12,4076.54,3663.47,4117.27,4834.77,4488.28,4559.8,4505.68,5165.95,7048.03,6635.46,5050.44,5358.01,4831.22,5317.83,4837.95,5020.68,5002.8,3642.86,4243.17,4389.2,4583.59,4426.13,4142.18,4672.5,3479.93,4216.54,3767.52,3963.84,4088.54,4199.15,4155.81,3896.07,3566.97,4000.81,3935.31,4083.7,4179.3,4386.8,4485.74,4558.65,4338.22,4332.93,4464.34,4092.49,4740.66,4119.38,4838.92,4326.77,3632.73,3978.31,3893.39,4461.77,3835.35,3732.95,3618.94,3230.25,2927.71,2990.65,2928.62,2462.13,2317.81,2482.89,2395.65,2329.86,2148.39,2250.1,1711.18,1781.32,1642.92,1810.61,1203.11,1252.81,1316.61,974.667,858.601,913.841,1037.72,695.761,577.29,458.301,351.275,385.326,156.463,190.41,342.316,259.506,386.026,87.6938,222.884,54.2956,208.232,62.7241,159.129,130.202,0,0,34.3753,0,0,72.2224,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,55.3224,81.277,58.2453,26.896,2.23698,4923.49,
13,03/07/14,08:47:38,,764.617,1927.17,1999.36,1805.58,2805.12,1612.76,2768.92,3110.05,2353.53,2726.57,3407.65,3238.8,3408.9,4861.37,3848.08,3773.12,4829.12,4691.35,4359.87,4151.77,5351.77,5256.51,4391.4,4961.3,4527.66,4918.39,5147.37,4726.3,4542.04,4502.75,4686.11,4639.72,3771.6,4705.49,4307.9,4004.93,3557.36,3547.24,4505.07,3490.48,4524.05,4699.67,4616.07,5067.87,4086.03,4436.93,4899.59,4326.17,4582.36,4410.55,5004.86,3871.82,4537.45,4392.26,4766.07,4680.39,4250.41,4534.61,3673.8,3838.54,3673.87,3628.59,3491.64,3145.23,3423.49,3149.15,3447.77,2956.03,2822.3,3027.21,2763.12,2744.23,2130.56,1841.21,1745.58,1761.57,2033.28,1624.86,1472.87,1581.54,1270.6,1179.21,885.413,1091.34,800.129,866.635,760.624,674.163,702.822,530.679,418.561,395.573,313.628,228.197,247.771,156.202,128.2,146.156,266.728,122.891,92.7357,31.3621,127.303,97.6512,66.1017,33.5672,68.7506,0,27.2509,44.5127,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,58.6466,82.1459,59.8374,28.9026,2.19638,4772.24,
14,03/07/14,08:51:37,,860.194,1613.86,776.862,1409.31,1416.68,1614.18,1338.85,1971.27,2037.45,2815.13,2418.58,3116.96,3738.81,3907.63,3532.81,3808.74,4303.87,3962.69,3877.52,3936.53,3765.75,4255.73,3924.59,3888.5,3988.83,4114.64,4752.26,4061.6,4664,3710.58,4086.17,3991.49,3803.6,4292.31,3900.16,3646.31,3926.86,3421.91,3935.3,4020.66,3829.35,3822.91,4286.01,4370.13,4006.94,4434.26,4208.17,3974.72,4723.15,3906.04,4187.2,4407.95,4494.71,3706.59,4303.31,3729.76,3813.78,3755.95,3608.32,3727.73,4057,3573.95,3318.57,3119.32,3429.34,3068.85,2547.49,2870.9,2838.8,2975.97,2577.3,2272.29,2381.85,2008.49,1901.64,1739.9,2165.99,1430.27,1413.16,1426.2,1210.34,1006.44,1235.56,986.152,809.093,961.901,721.851,423.255,703.291,526.739,566.87,433.433,286.764,253.664,304.992,312.405,245.026,128.532,89.5197,121.034,92.7357,62.7241,127.303,19.0399,79.8199,134.269,0,0,71.0263,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,61.6256,85.7499,62.6972,35.8664,2.19029,4327.71,
15,03/07/14,08:55:37,,477.885,1029.62,1073.21,854.533,1043.87,1003.64,1380.83,2000.42,2042.94,3067.04,2659.22,2687.15,3139.12,3085.88,2775.27,2983.58,3659.9,2917.5,3168.23,3528.73,3816.64,4663.89,3318.34,3503.36,3874.07,3452.78,3096.87,3831.45,3867.51,3375.87,3365.85,3721.94,3624.48,3065.22,3260.72,2805.15,2857.33,3791.72,3413.21,3787.94,3595.57,3246.37,3676.99,3742.13,3199.19,3317.62,3025.66,3045.35,3423.78,3327.73,3455.11,3873.09,3555.63,3705.87,3322.39,3478.08,3634.51,3218.09,3670.1,3259.62,3284.61,3464.72,2895.01,2798.57,2609.51,2667.38,2761.58,2272.06,2643.41,2324.62,1845.89,2384.63,1935.31,1740.86,2303.81,1844.69,1925.47,1489.96,1323.9,1131.16,1085.2,1022.08,997.292,930.352,865.317,894.081,395.524,645.169,449.384,530.679,496.252,215.608,362.634,282.6,275.498,169.635,257.826,116.925,59.6798,68.4966,53.6721,62.7241,63.6517,32.5504,0,33.5672,34.3753,34.9348,0,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,61.3355,86.383,63.127,29.9614,2.19829,3749.45,
16,03/07/14,08:59:37,,191.154,223.661,969.662,951.046,642.826,868.753,1133.18,1053.33,1032.02,1497.29,1558.02,1790.81,2292.43,2302.24,2102.05,1940.36,2261.57,2033.05,2853.85,2773.04,2651.01,3002.47,2400.94,2008.94,2600.7,3008.44,3004.54,3124.5,3344.57,2868.1,2524.18,3146.58,2191.5,3367.73,3305.27,2934.78,2738.36,3052.56,2707.07,3009.41,3064.55,2523.14,3102.86,3414.77,3362.05,3468.79,3103.17,3233.61,3232.53,3678.54,3311.94,3559.3,3575.8,3416.41,3691.53,3197.38,3520.18,3370.83,3291.16,2752.12,2772.14,3139.19,2899.93,2667.65,2512.32,2806.12,2487.06,2647.69,2218.79,1907.49,2327.35,1771.51,1990.6,1731.4,1505.11,1547.15,1193.44,1190.9,1169.6,1368.71,1182.84,1098.4,1027.9,637.205,1034.27,792.131,536.716,699.922,625.317,377.456,344.203,317.7,282.042,63.254,130.101,335.943,212.717,29.2313,89.5197,60.5172,122.706,95.0412,31.8258,130.202,99.1526,67.1345,34.3753,0,35.5132,0,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,69.7288,92.4811,68.9596,98.2172,2.15406,3213.75,
17,03/07/14,09:03:37,,191.154,717.269,524.026,922.2,1026.54,1170.57,984.013,1024.19,1313.64,1086.35,1574.32,2030.5,1436.58,2345.52,2488.41,2285.73,2438.52,2650.36,3128.04,2269.9,3002.03,2779.96,2467.72,3006.21,2759.01,3373.86,3267.79,3143.65,3618.75,3681.35,3606.83,3848.87,4862.28,4727.93,4822.8,5379.69,5098.88,5207.47,5338.62,5297.24,4755.17,5323.44,5084.42,5543.76,4715.03,5288.77,5127.53,5485.18,5789.28,5853.65,5448.83,6059.28,6250.45,5850.11,5662.93,5904.78,6136.48,5884.81,5609.34,5753.19,5075.86,5805.51,5297.29,5134.05,4642.09,4268.78,4477.52,3948.96,4064.85,3960.04,3664.21,3153.87,3002.84,2897.66,2502.8,2767.78,2218.19,2184.31,1795.77,1703.65,1667.82,1678.82,1642.29,1147.03,1123.07,638.853,971.013,1147.24,877.045,806.182,740.2,477.171,500.974,491.36,506.908,302.618,456.932,204.619,117.529,153.15,92.7357,175.307,140.359,130.202,99.1526,100.702,68.7506,0,35.5132,0,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,79.481,99.8513,77.1653,91.3982,2.06647,4866.95,
18,03/07/14,09:07:38,,1314.94,2800.15,1939.32,3311.28,2821.47,3107.67,3420.64,4384.51,4451.3,4175.77,3864.43,4643.52,5775.04,5925.45,6019.28,6553.37,6986.82,7393.2,6965.63,8895.1,8560.27,8138.27,9111.96,8852.57,7810.51,8278.21,8439.97,7877.51,7443.81,7614.31,6982.29,6441.19,6359.51,6370.3,6372.6,5923.14,5745.65,5912.22,6142.48,5986.7,5853.23,4957.68,4837.37,5078.99,4806.89,5374.95,5215.8,4866.41,4612.48,5238.61,4858.09,5011.87,4842.66,5015.94,5290.51,5148.65,4619.98,4685.12,4433.2,4821.16,4710.88,4856.58,4026.52,4186.55,4051.91,3746.64,4222.52,3355.71,3434.99,2724.12,3501.24,2306.89,2028.84,2257.54,2002.45,1978.03,2160.5,1771.42,1686.63,1359.63,1501.78,1446.73,1142.61,1000.12,752.869,1049.77,980.836,622.526,377.177,686.865,440.248,373.837,532.561,353.619,277.265,226.18,257.826,263.082,119.36,189.531,53.6721,125.448,127.303,32.5504,33.0509,42.6754,25.0478,34.9348,0,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,47.807,73.9033,53.9025,31.059,2.15118,6439.96,
19,03/07/14,09:11:38,,286.731,761.613,1475.33,951.046,1164.76,1542.58,2159.18,1752.42,2149.09,2355.17,2379.89,2615.12,2601.61,2907.54,3129.5,3328.94,3340.72,4553.85,3596.15,3179.05,4233.18,18270.6,112309,323813,557147,720765,755319,733669,663231,587634,511993,438395,370845,322493,274675,240789,212922,184611,166867,146014,131006,114368,105444,91632.5,82990.1,76587.9,69589.4,62124.1,57875.4,53520.5,49520.8,44336.1,41798.7,39356.9,36971.4,34013.3,30110,28669.7,27903,23339.8,23005.5,22035.9,21434,20627.1,19222.4,18207,17116.3,15918.3,15721.5,14802.3,13081.2,12000.8,11016.7,10433.8,9480.6,7037.6,7584.04,6137.49,6222.96,4954.05,4288.9,3826.44,3114.18,2426.83,2404.6,2103.67,2002.55,1788.9,1555.11,1082.08,1000.05,806.295,832.022,799.428,534.634,472.253,628.816,321.544,342.243,296.364,300.967,282.259,95.4775,233.382,60.4873,76.2427,265.675,104.804,106.539,72.2224,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,40.5104,49.9501,45.546,35.8664,1.45182,139088,
